scenario,sf,workers,strategy,query_id,distributed_elapsed_sec,baseline_elapsed_sec,speedup,speedup_class
SF10_N2_D1,10,2,D1,Q135,2.501,0.785,0.31387445021991206,Citus mai lent
SF10_N2_D1,10,2,D1,Q136,4.176,18.761,4.49257662835249,Citus mai rapid
SF10_N2_D1,10,2,D1,Q137,3.876,14.967,3.8614551083591335,Citus mai rapid
SF10_N2_D1,10,2,D1,Q138,1.25,6.29,5.032,Citus mai rapid
SF10_N2_D1,10,2,D1,Q139,1.213,8.16,6.72712283594394,Citus mai rapid
SF10_N2_D1,10,2,D1,Q140,1.161,8.204,7.066322136089578,Citus mai rapid
SF10_N2_D1,10,2,D1,Q141,1.724,4.384,2.5429234338747104,Citus mai rapid
SF10_N2_D1,10,2,D1,Q142,2.713,0.449,0.16549944710652414,Citus mai lent
SF10_N2_D1,10,2,D1,Q143,1.143,3.502,3.063867016622922,Citus mai rapid
SF10_N2_D1,10,2,D1,Q144,1.749,4.638,2.6518010291595195,Citus mai rapid
SF10_N2_D1,10,2,D1,Q145,1.462,4.68,3.2010943912448697,Citus mai rapid
SF10_N2_D1,10,2,D1,Q146,0.871,5.354,6.146957520091848,Citus mai rapid
SF10_N2_D1,10,2,D1,Q147,0.85,5.032,5.92,Citus mai rapid
SF10_N2_D1,10,2,D1,Q148,2.984,14.682,4.920241286863271,Citus mai rapid
SF10_N2_D1,10,2,D1,Q149,2.624,13.447,5.124618902439024,Citus mai rapid
SF10_N2_D1,10,2,D1,Q150,1.53,6.956,4.54640522875817,Citus mai rapid
SF10_N2_D1,10,2,D1,Q151,3.645,19.989,5.483950617283951,Citus mai rapid
SF10_N2_D1,10,2,D1,Q152,0.95,20.553,21.634736842105266,Citus mai rapid
SF10_N2_D1,10,2,D1,Q153,403.301,34.928,0.0866052898455496,Citus mai lent
SF10_N2_D1,10,2,D1,Q154,374.385,35.174,0.09395141365172216,Citus mai lent
SF10_N2_D1,10,2,D1,Q155,8.732,26.747,3.0631012368300508,Citus mai rapid
SF10_N2_D1,10,2,D1,Q156,2.592,12.187,4.7017746913580245,Citus mai rapid
SF10_N2_D1,10,2,D1,Q157,2.314,14.907,6.44209161624892,Citus mai rapid
SF10_N2_D1,10,2,D1,Q158,29.888,17.292,0.5785599571734475,Citus mai lent
SF10_N2_D1,10,2,D1,Q159,28.629,15.244,0.5324670788361451,Citus mai lent
SF10_N2_D1,10,2,D1,Q161,3.573,6.532,1.8281556115309263,Citus mai rapid
SF10_N2_D1,10,2,D1,Q162,3.823,1.862,0.48705205336123464,Citus mai lent
SF10_N2_D1,10,2,D1,Q163,1.739,1.953,1.1230592294422082,Citus mai rapid
SF10_N2_D1,10,2,D1,Q164,4.501,8.984,1.9960008886914018,Citus mai rapid
SF10_N2_D1,10,2,D1,Q165,3.945,9.136,2.315842839036755,Citus mai rapid
SF10_N2_D1,10,2,D1,Q166,3.899,9.564,2.4529366504231853,Citus mai rapid
SF10_N2_D1,10,2,D1,Q167,17.637,15.213,0.8625616601462833,Citus mai lent
SF10_N2_D1,10,2,D1,Q168,18.337,15.26,0.8321971969242515,Citus mai lent
SF10_N2_D1,10,2,D1,Q169,18.699,15.587,0.8335739879137921,Citus mai lent
SF10_N2_D1,10,2,D1,Q170,14.284,16.398,1.1479977597311677,Citus mai rapid
SF10_N2_D1,10,2,D1,Q171,14.757,15.84,1.073388900182964,Citus mai rapid
SF10_N2_D1,10,2,D1,Q172,1.68,1.628,0.969047619047619,Citus mai lent
SF10_N2_D1,10,2,D1,Q173,1.252,1.544,1.233226837060703,Citus mai rapid
SF10_N2_D1,10,2,D1,Q174,1.489,1.666,1.1188717259905976,Citus mai rapid
SF10_N2_D1,10,2,D1,Q175,1.449,5.908,4.0772946859903385,Citus mai rapid
SF10_N2_D1,10,2,D1,Q176,1.335,5.334,3.995505617977528,Citus mai rapid
SF10_N2_D1,10,2,D1,Q177,1.34,5.167,3.855970149253731,Citus mai rapid
SF10_N2_D1,10,2,D1,Q178,2.362,5.585,2.3645215918712954,Citus mai rapid
SF10_N2_D1,10,2,D1,Q179,2.664,7.835,2.9410660660660657,Citus mai rapid
SF10_N2_D1,10,2,D1,Q180,2.729,8.167,2.992671308171491,Citus mai rapid
SF10_N2_D1,10,2,D1,Q181,1.865,4.304,2.307774798927614,Citus mai rapid
SF10_N2_D1,10,2,D1,Q182,1.16,6.565,5.65948275862069,Citus mai rapid
SF10_N2_D1,10,2,D1,Q183,53.571,11.456,0.21384704410968622,Citus mai lent
SF10_N2_D1,10,2,D1,Q184,52.068,12.501,0.24008988246139665,Citus mai lent
SF10_N2_D1,10,2,D1,Q185,1.68,6.147,3.6589285714285715,Citus mai rapid
SF10_N2_D1,10,2,D1,Q186,5.341,22.126,4.142669912001498,Citus mai rapid
SF10_N2_D1,10,2,D1,Q187,2.037,6.826,3.351006381934217,Citus mai rapid
SF10_N2_D1,10,2,D1,Q188,1.88,3.52,1.872340425531915,Citus mai rapid
SF10_N2_D1,10,2,D1,Q189,1.305,14.216,10.893486590038314,Citus mai rapid
SF10_N2_D1,10,2,D1,Q190,0.93,14.855,15.973118279569892,Citus mai rapid
SF10_N2_D1,10,2,D1,Q191,0.887,10.621,11.974069898534387,Citus mai rapid
SF10_N2_D1,10,2,D1,Q192,1.725,20.824,12.071884057971015,Citus mai rapid
SF10_N2_D1,10,2,D1,Q193,1.574,22.706,14.42566709021601,Citus mai rapid
SF10_N2_D1,10,2,D1,Q194,1.119,4.893,4.372654155495979,Citus mai rapid
SF10_N2_D1,10,2,D1,Q195,1.052,3.864,3.6730038022813685,Citus mai rapid
SF10_N2_D1,10,2,D1,Q196,1.101,3.879,3.5231607629427795,Citus mai rapid
