sf,strategy,query_id,elapsed_N2,elapsed_N5,node_scaling_speedup,time_reduction_pct,scaling_efficiency,time_comparison_class
10,D2,Q099,452.636,450.497,1.0047480893324483,0.47256515168921825,0.4018992357329793,Similar (+/-5%)
10,D2,Q100,0.665,0.601,1.1064891846921798,9.624060150375948,0.44259567387687193,N5 mai rapid
10,D2,Q102,2.836,3.089,0.9180964713499514,-8.921015514809595,0.3672385885399806,N2 mai rapid
10,D2,Q104,4.878,4.654,1.0481306403094113,4.592045920459208,0.4192522561237645,Similar (+/-5%)
10,D2,Q105,19.443,9.993,1.9456619633743621,48.60361055392686,0.7782647853497449,N5 mai rapid
10,D2,Q106,9.367,9.953,0.9411232794132424,-6.256005124372782,0.37644931176529695,N2 mai rapid
10,D2,Q107,9.496,9.385,1.0118273841236016,1.1689132266217424,0.4047309536494407,Similar (+/-5%)
10,D2,Q108,10.678,10.168,1.050157356412274,4.776175313729177,0.42006294256490956,N5 mai rapid
10,D2,Q109,3.127,3.304,0.9464285714285714,-5.660377358490568,0.37857142857142856,N2 mai rapid
10,D2,Q111,6.516,7.407,0.8797083839611178,-13.674033149171272,0.3518833535844471,N2 mai rapid
10,D2,Q112,2.226,2.273,0.9793224813022436,-2.1114106019766465,0.39172899252089743,Similar (+/-5%)
10,D2,Q113,3.59,3.539,1.0144108505227465,1.4206128133704654,0.4057643402090986,Similar (+/-5%)
10,D2,Q114,1.006,0.603,1.6683250414593698,40.059642147117295,0.6673300165837479,N5 mai rapid
10,D2,Q115,8.66,5.829,1.4856750729113057,32.6905311778291,0.5942700291645223,N5 mai rapid
10,D2,Q116,2.315,2.32,0.997844827586207,-0.21598272138228483,0.3991379310344828,Similar (+/-5%)
10,D2,Q117,2.064,2.269,0.9096518289995592,-9.932170542635662,0.3638607315998237,N2 mai rapid
10,D2,Q118,1.921,1.985,0.9677581863979848,-3.3315981259760568,0.3871032745591939,Similar (+/-5%)
10,D2,Q120,1.193,1.092,1.0924908424908424,8.46605196982397,0.43699633699633694,N5 mai rapid
10,D2,Q122,46.475,43.468,1.0691773258489004,6.470145239376005,0.42767093033956016,N5 mai rapid
10,D2,Q123,6.672,6.796,0.98175397292525,-1.8585131894484495,0.3927015891701,Similar (+/-5%)
10,D2,Q126,25.489,22.538,1.1309344218652941,11.577543253952687,0.4523737687461177,N5 mai rapid
10,D2,Q127,17.816,17.594,1.0126179379333862,1.2460709474629421,0.4050471751733545,Similar (+/-5%)
10,D2,Q128,0.898,1.236,0.7265372168284789,-37.639198218262806,0.2906148867313916,N2 mai rapid
10,D2,Q129,2.111,1.236,1.707928802588997,41.44954997631455,0.68317152103559875,N5 mai rapid
10,D2,Q130,1.15,1.143,1.006124234470691,0.608695652173904,0.40244969378827644,Similar (+/-5%)
10,D2,Q131,3.64,4.112,0.8852140077821011,-12.967032967032965,0.35408560311284043,N2 mai rapid
10,D2,Q133,15.884,9.503,1.671472166684205,40.17250062956434,0.668588866673682,N5 mai rapid
10,D2,Q134,45.726,27.217,1.6800529081089026,40.47806499584482,0.6720211632435611,N5 mai rapid
10,D2,Q135,1.818,1.01,1.8,44.44444444444445,0.72,N5 mai rapid
10,D2,Q136,6.706,7.211,0.92996810428512,-7.530569639129137,0.371987241714048,N2 mai rapid
10,D2,Q137,7.224,7.033,1.0271576851983506,2.643964562569211,0.41086307407934025,Similar (+/-5%)
10,D2,Q138,1.176,1.37,0.8583941605839415,-16.496598639455797,0.3433576642335766,N2 mai rapid
10,D2,Q139,1.203,1.288,0.9340062111801243,-7.065669160432249,0.3736024844720497,N2 mai rapid
10,D2,Q140,1.151,1.421,0.80999296270232235,-23.457862728062555,0.32399718508092895,N2 mai rapid
10,D2,Q141,1.143,1.364,0.8379765395894427,-19.335083114610683,0.3351906158357771,N2 mai rapid
10,D2,Q142,1.068,1.956,0.5460122699386504,-83.14606741573031,0.21840490797546014,N2 mai rapid
10,D2,Q143,0.718,0.958,0.7494780793319415,-33.42618384401114,0.2997912317327766,N2 mai rapid
10,D2,Q144,1.487,1.523,0.9763624425476035,-2.4209818426361673,0.3905449770190414,Similar (+/-5%)
10,D2,Q145,1.465,1.438,1.0187760778859527,1.8430034129692925,0.40751043115438107,Similar (+/-5%)
10,D2,Q146,0.92,1.108,0.8303249097472923,-20.434782608695656,0.3321299638989169,N2 mai rapid
10,D2,Q147,0.904,0.969,0.932920536635707,-7.190265486725658,0.3731682146542828,N2 mai rapid
10,D2,Q148,2.985,2.722,1.0966201322556943,8.810720268006698,0.4386480529022777,N5 mai rapid
10,D2,Q149,2.526,2.456,1.028501628664495,2.771179730799677,0.411400651465798,Similar (+/-5%)
10,D2,Q150,1.179,1.332,0.8851351351351351,-12.977099236641223,0.35405405405405405,N2 mai rapid
10,D2,Q151,24.695,24.34,1.0145850451930978,1.437537963150437,0.4058340180772391,Similar (+/-5%)
10,D2,Q152,6.835,6.8,1.0051470588235294,0.5120702267739596,0.40205882352941175,Similar (+/-5%)
10,D2,Q153,478.311,362.283,1.3202689610056226,24.25785733549928,0.528107584402249,N5 mai rapid
10,D2,Q154,488.107,390.76,1.249122223359607,19.943782818111607,0.49964888934384283,N5 mai rapid
10,D2,Q155,16.711,23.667,0.7060886466387796,-41.625276763808294,0.28243545865551184,N2 mai rapid
10,D2,Q156,4.995,4.994,1.000200240288346,0.020020020020026705,0.40008009611533846,Similar (+/-5%)
10,D2,Q157,4.64,4.788,0.9690893901420216,-3.1896551724138056,0.3876357560568086,Similar (+/-5%)
10,D2,Q158,63.525,28.252,2.248513379583746,55.526170798898065,0.8994053518334985,N5 mai rapid
10,D2,Q159,30.438,27.406,1.110632708166095,9.961232669689204,0.444253083266438,N5 mai rapid
10,D2,Q161,7.583,3.213,2.360099595393713,57.628906765132534,0.9440398381574852,N5 mai rapid
10,D2,Q162,14.005,2.692,5.202451708766716,80.77829346661906,2.0809806835066866,N5 mai rapid
10,D2,Q163,0.814,0.795,1.0238993710691822,2.3341523341523227,0.40955974842767284,Similar (+/-5%)
10,D2,Q164,4.58,3.602,1.2715158245419211,21.353711790393017,0.5086063298167685,N5 mai rapid
10,D2,Q165,3.018,3.06,0.9862745098039215,-1.3916500994035872,0.3945098039215686,Similar (+/-5%)
10,D2,Q166,3.141,3.04,1.0332236842105262,3.215536453358802,0.4132894736842105,Similar (+/-5%)
10,D2,Q167,9.512,4.779,1.9903745553463068,49.75820016820858,0.7961498221385227,N5 mai rapid
10,D2,Q168,4.782,4.632,1.0323834196891193,3.1367628607277362,0.41295336787564774,Similar (+/-5%)
10,D2,Q169,4.673,4.585,1.0191930207197384,1.8831585705114502,0.40767720828789533,Similar (+/-5%)
10,D2,Q170,6.202,6.144,1.0094401041666667,0.9351821992905487,0.4037760416666667,Similar (+/-5%)
10,D2,Q171,6.24,6.157,1.0134805911970115,1.330128205128208,0.4053922364788046,Similar (+/-5%)
10,D2,Q172,1.737,0.862,2.01508120649652,50.37420840529649,0.8060324825986079,N5 mai rapid
10,D2,Q173,0.818,0.822,0.9951338199513382,-0.48899755501222536,0.3980535279805353,Similar (+/-5%)
10,D2,Q174,0.942,0.838,1.1241050119331741,11.040339702760084,0.44964200477326965,N5 mai rapid
10,D2,Q175,3.737,1.507,2.4797611147976113,59.67353492105968,0.9919044459190445,N5 mai rapid
10,D2,Q176,1.227,1.276,0.9615987460815048,-3.993480032599831,0.3846394984326019,Similar (+/-5%)
10,D2,Q177,1.19,1.299,0.9160892994611239,-9.159663865546218,0.36643571978444955,N2 mai rapid
10,D2,Q178,2.238,2.316,0.9663212435233162,-3.4852546916890015,0.3865284974093265,Similar (+/-5%)
10,D2,Q179,2.505,2.249,1.113828368163628,10.219560878243504,0.44553134726545124,N5 mai rapid
10,D2,Q180,2.197,2.328,0.9437285223367698,-5.96267637687755,0.37749140893470795,N2 mai rapid
10,D2,Q181,2.105,2.229,0.9443696724988784,-5.890736342042761,0.3777478689995514,N2 mai rapid
10,D2,Q182,1.198,1.134,1.056437389770723,5.342237061769621,0.42257495590828925,N5 mai rapid
10,D2,Q183,78.291,50.013,1.5654129926219182,36.11909414875273,0.6261651970487673,N5 mai rapid
10,D2,Q184,52.68,48.996,1.0751898114131766,6.993166287015941,0.43007592456527066,N5 mai rapid
10,D2,Q185,1.102,1.332,0.8273273273273274,-20.871143375680578,0.33093093093093096,N2 mai rapid
10,D2,Q186,15.459,7.584,2.038370253164557,50.941199301377836,0.8153481012658228,N5 mai rapid
10,D2,Q187,1.453,1.357,1.070744288872513,6.607019958706132,0.4282977155490052,N5 mai rapid
10,D2,Q188,0.598,0.456,1.3114035087719298,23.745819397993305,0.5245614035087719,N5 mai rapid
10,D2,Q189,1.817,1.833,0.9912711402073104,-0.880572372041828,0.3965084560829242,Similar (+/-5%)
10,D2,Q190,1.707,1.749,0.9759862778730704,-2.460456942003517,0.39039451114922813,Similar (+/-5%)
10,D2,Q191,1.656,1.637,1.0116065974343311,1.1473429951690766,0.4046426389737324,Similar (+/-5%)
10,D2,Q192,5.623,4.944,1.1373381877022655,12.075404588298067,0.4549352750809062,N5 mai rapid
10,D2,Q193,4.207,4.416,0.9526721014492753,-4.9679106251485745,0.38106884057971013,Similar (+/-5%)
10,D2,Q194,1.007,0.964,1.0446058091286305,4.270109235352526,0.41784232365145224,Similar (+/-5%)
10,D2,Q195,0.968,0.904,1.070796460176991,6.611570247933879,0.4283185840707964,N5 mai rapid
10,D2,Q196,1.225,0.916,1.3373362445414847,25.22448979591837,0.5349344978165939,N5 mai rapid
10,D2,Q199,0.874,0.465,1.8795698924731181,46.796338672768876,0.7518279569892472,N5 mai rapid
10,D2,Q200,2.187,1.479,1.478701825557809,32.373113854595324,0.5914807302231236,N5 mai rapid
10,D2,Q201,0.677,0.651,1.0399385560675884,3.840472673559826,0.4159754224270354,Similar (+/-5%)
