scenario,sf,workers,strategy,query_id,query_no,status,error_category,elapsed_sec,response_code,response_message,source_file
SF100_N2_D2,100,2,D2,Q125,125,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.003,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n2_d2_102.csv
SF100_N2_D2,100,2,D2,Q132,132,CITUS_ARCH_ERROR,Recursive CTE neexecutabil distribuit in forma curenta,0.03,0A000 0,org.postgresql.util.PSQLException: ERROR: recursive CTEs are only supported when they contain a filter on the distribution column,rezultate_sf100_n2_d2_102.csv
SF100_N2_D2,100,2,D2,Q160,160,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.031,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n2_d2_102.csv
SF100_N2_D2,100,2,D2,Q183,183,SERVER_CRASH,Intrerupere conexiune / restart PostgreSQL necesar,350.491,08006 0,org.postgresql.util.PSQLException: An I/O error occurred while sending to the backend.,rezultate_sf100_n2_d2_102.csv
SF100_N2_D2,100,2,D2,Q184,184,SERVER_CRASH,Intrerupere conexiune / restart PostgreSQL necesar,701.367,08006 0,org.postgresql.util.PSQLException: An I/O error occurred while sending to the backend.,rezultate_sf100_n2_d2_184.csv
SF100_N2_D2,100,2,D2,Q197,197,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.058,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n2_d2_185.csv
SF100_N2_D2,100,2,D2,Q198,198,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.004,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n2_d2_185.csv
SF100_N2_D2,100,2,D2,Q233,233,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.006,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n2_d2_185.csv
SF100_N2_D2,100,2,D2,Q235,235,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.013,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n2_d2_185.csv
SF100_N2_D2,100,2,D2,Q237,237,CITUS_ARCH_ERROR,GROUPING SETS / CUBE / ROLLUP fara filtru pe cheia de distributie,0.014,0A000 0,"org.postgresql.util.PSQLException: ERROR: could not run distributed query with GROUPING SETS, CUBE, or ROLLUP
  Hint: Consider using an equality filter on the distributed table's partition column.",rezultate_sf100_n2_d2_185.csv
SF100_N2_D2,100,2,D2,Q238,238,CITUS_ARCH_ERROR,Alta limitare arhitecturala Citus,0.003,0A000 0,"org.postgresql.util.PSQLException: ERROR: could not run distributed query with GROUPING
  Hint: Consider using an equality filter on the distributed table's partition column.",rezultate_sf100_n2_d2_185.csv
SF100_N2_D2,100,2,D2,Q247,247,CITUS_ARCH_ERROR,Parallel DDL + FK catre reference table,0.015,XX000 0,"org.postgresql.util.PSQLException: ERROR: cannot execute parallel DDL on table ""store_sales"" after DDL command on reference table ""item"" because there is a foreign key between them and ""item"" has been accessed in this transaction
  Detail: When there is a foreign key to a reference table, Citus needs to perform all operations over a single connection per node to ensure consistency.
  Hint: Try re-running the transaction with ""SET LOCAL citus.multi_shard_modify_mode TO 'sequential';""",rezultate_sf100_n2_d2_185.csv
SF100_N2_D2,100,2,D2,Q248,248,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.004,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n2_d2_185.csv
SF100_N2_D2,100,2,D2,Q249,249,CITUS_ARCH_ERROR,Parallel DDL + FK catre reference table,0.018,XX000 0,"org.postgresql.util.PSQLException: ERROR: cannot execute parallel DDL on table ""store_returns"" after DDL command on reference table ""item"" because there is a foreign key between them and ""item"" has been accessed in this transaction
  Detail: When there is a foreign key to a reference table, Citus needs to perform all operations over a single connection per node to ensure consistency.
  Hint: Try re-running the transaction with ""SET LOCAL citus.multi_shard_modify_mode TO 'sequential';""",rezultate_sf100_n2_d2_185.csv
SF100_N2_D2,100,2,D2,Q250,250,CITUS_ARCH_ERROR,Parallel DDL + FK catre reference table,0.007,XX000 0,"org.postgresql.util.PSQLException: ERROR: cannot execute parallel DDL on table ""store_returns"" after DDL command on reference table ""item"" because there is a foreign key between them and ""item"" has been accessed in this transaction
  Detail: When there is a foreign key to a reference table, Citus needs to perform all operations over a single connection per node to ensure consistency.
  Hint: Try re-running the transaction with ""SET LOCAL citus.multi_shard_modify_mode TO 'sequential';""",rezultate_sf100_n2_d2_185.csv
SF100_N5_D1,100,5,D1,Q013,13,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.012,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n5_d1.csv
SF100_N5_D1,100,5,D1,Q028,28,TIMEOUT_3600,Timeout peste pragul de 3600 secunde,3600.296,57014 0,org.postgresql.util.PSQLException: ERROR: canceling statement due to user request,rezultate_sf100_n5_d1.csv
SF100_N5_D1,100,5,D1,Q051,51,CITUS_ARCH_ERROR,Parallel DDL + FK catre reference table,0.076,XX000 0,"org.postgresql.util.PSQLException: ERROR: cannot execute parallel DDL on table ""store_sales"" after DDL command on reference table ""date_dim"" because there is a foreign key between them and ""date_dim"" has been accessed in this transaction
  Detail: When there is a foreign key to a reference table, Citus needs to perform all operations over a single connection per node to ensure consistency.
  Hint: Try re-running the transaction with ""SET LOCAL citus.multi_shard_modify_mode TO 'sequential';""",rezultate_sf100_n5_d1.csv
SF100_N5_D1,100,5,D1,Q054,54,TIMEOUT_3600,Timeout peste pragul de 3600 secunde,3600.595,57014 0,org.postgresql.util.PSQLException: ERROR: canceling statement due to user request,rezultate_sf100_n5_d1.csv
SF100_N5_D1,100,5,D1,Q055,55,CITUS_ARCH_ERROR,Parallel DDL + FK catre reference table,0.106,XX000 0,"org.postgresql.util.PSQLException: ERROR: cannot execute parallel DDL on table ""store_sales"" after DDL command on reference table ""date_dim"" because there is a foreign key between them and ""date_dim"" has been accessed in this transaction
  Detail: When there is a foreign key to a reference table, Citus needs to perform all operations over a single connection per node to ensure consistency.
  Hint: Try re-running the transaction with ""SET LOCAL citus.multi_shard_modify_mode TO 'sequential';""",rezultate_sf100_n5_d1.csv
SF100_N5_D1,100,5,D1,Q061,61,TIMEOUT_3600,Timeout peste pragul de 3600 secunde,3600.327,57014 0,org.postgresql.util.PSQLException: ERROR: canceling statement due to user request,rezultate_sf100_n5_d1.csv
SF100_N5_D1,100,5,D1,Q065,65,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.01,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n5_d1.csv
SF100_N5_D1,100,5,D1,Q069,69,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.007,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n5_d1.csv
SF100_N5_D1,100,5,D1,Q099,99,TIMEOUT_3600,Timeout peste pragul de 3600 secunde,3601.602,57014 0,org.postgresql.util.PSQLException: ERROR: canceling statement due to user request,rezultate_sf100_n5_d1.csv
SF100_N5_D1,100,5,D1,Q101,101,SERVER_CRASH,Intrerupere conexiune / restart PostgreSQL necesar,2578.261,08006 0,org.postgresql.util.PSQLException: An I/O error occurred while sending to the backend.,rezultate_sf100_n5_d1.csv
SF100_N5_D1,100,5,D1,Q103,103,CITUS_ARCH_ERROR,GROUPING SETS / CUBE / ROLLUP fara filtru pe cheia de distributie,0.519,0A000 0,"org.postgresql.util.PSQLException: ERROR: could not run distributed query with GROUPING SETS, CUBE, or ROLLUP
  Hint: Consider using an equality filter on the distributed table's partition column.",rezultate_sf100_n5_d1_102.csv
SF100_N5_D1,100,5,D1,Q110,110,CITUS_ARCH_ERROR,Subquery in lista SELECT nepusa in push-down,0.018,0A000 0,"org.postgresql.util.PSQLException: ERROR: cannot push down subquery on the target list
  Detail: Subqueries in the SELECT part of the query can only be pushed down if they happen before aggregates and window functions",rezultate_sf100_n5_d1_102.csv
