penalty,mixture,.metric,.estimator,mean,n,std_err,.config
4.181965998563129e-5,0.4394315362442285,roc_auc,binary,0.8007503087835839,5,0.038190030391867476,Preprocessor1_Model044
4.181965998563129e-5,0.4394315362442285,sens,binary,0.9524241098433984,5,0.015385334298897381,Preprocessor1_Model044
4.181965998563129e-5,0.4394315362442285,spec,binary,0.26026636588434343,5,0.08234284724109261,Preprocessor1_Model044
1.8421182877944537,0.4447680020239204,accuracy,binary,0.8984313725490196,5,0.029777098774411176,Preprocessor1_Model045
1.8421182877944537,0.4447680020239204,bal_accuracy,binary,0.5,5,0,Preprocessor1_Model045
1.8421182877944537,0.4447680020239204,roc_auc,binary,0.5,5,0,Preprocessor1_Model045
1.8421182877944537,0.4447680020239204,sens,binary,1,5,0,Preprocessor1_Model045
1.8421182877944537,0.4447680020239204,spec,binary,0,5,0,Preprocessor1_Model045
2.0598606197185607e-5,0.46653270232491195,accuracy,binary,0.8791148459383753,5,0.014130406399005624,Preprocessor1_Model046
2.0598606197185607e-5,0.46653270232491195,bal_accuracy,binary,0.606345237863871,5,0.034540787033262514,Preprocessor1_Model046
2.0598606197185607e-5,0.46653270232491195,roc_auc,binary,0.8008631871321488,5,0.03809356847593018,Preprocessor1_Model046
2.0598606197185607e-5,0.46653270232491195,sens,binary,0.9524241098433984,5,0.015385334298897381,Preprocessor1_Model046
2.0598606197185607e-5,0.46653270232491195,spec,binary,0.26026636588434343,5,0.08234284724109261,Preprocessor1_Model046
0.0011072589273084241,0.48128980048932135,accuracy,binary,0.8848515406162465,5,0.018235561749618396,Preprocessor1_Model047
0.0011072589273084241,0.48128980048932135,bal_accuracy,binary,0.5936028072496498,5,0.02948252405011751,Preprocessor1_Model047
0.0011072589273084241,0.48128980048932135,roc_auc,binary,0.8083046527270524,5,0.04027097644232378,Preprocessor1_Model047
0.0011072589273084241,0.48128980048932135,sens,binary,0.9647163515605984,5,0.016148114942842063,Preprocessor1_Model047
0.0011072589273084241,0.48128980048932135,spec,binary,0.22248926293870114,5,0.074172290418483,Preprocessor1_Model047
3.830636919479691,0.48290239716880023,accuracy,binary,0.8984313725490196,5,0.029777098774411176,Preprocessor1_Model048
3.830636919479691,0.48290239716880023,bal_accuracy,binary,0.5,5,0,Preprocessor1_Model048
3.830636919479691,0.48290239716880023,roc_auc,binary,0.5,5,0,Preprocessor1_Model048
