mtry,min_n,.metric,.estimator,mean,n,std_err,.config
10,12,rsq,standard,0.7568458046233105,5,0.018466879272677348,Preprocessor1_Model27
11,21,mae,standard,0.3575400494452059,5,0.009472489289268145,Preprocessor1_Model28
11,21,rmse,standard,0.4628618686898434,5,0.016134080653114696,Preprocessor1_Model28
11,21,rsq,standard,0.7301122213340702,5,0.018940197724062444,Preprocessor1_Model28
24,4,mae,standard,0.2819915407200316,5,0.0090918806074362455,Preprocessor1_Model29
24,4,rmse,standard,0.38681382631005357,5,0.016515934645749738,Preprocessor1_Model29
24,4,rsq,standard,0.8003357179132522,5,0.01482115755873758,Preprocessor1_Model29
28,30,mae,standard,0.3589966769122302,5,0.00946523845887309,Preprocessor1_Model30
28,30,rmse,standard,0.46744051759448774,5,0.015686904217196602,Preprocessor1_Model30
28,30,rsq,standard,0.7092300252217453,5,0.017449098248852414,Preprocessor1_Model30
8,37,mae,standard,0.40014259044038464,5,0.009953400551882005,Preprocessor1_Model31
8,37,rmse,standard,0.5090263415360563,5,0.01618864441678107,Preprocessor1_Model31
8,37,rsq,standard,0.6881619372383958,5,0.021662928826159687,Preprocessor1_Model31
28,23,mae,standard,0.34093336024458937,5,0.00898783781692727,Preprocessor1_Model32
28,23,rmse,standard,0.44731230312565545,5,0.015571497760309312,Preprocessor1_Model32
28,23,rsq,standard,0.734349187777378,5,0.016395225067725363,Preprocessor1_Model32
33,21,mae,standard,0.3331671776545041,5,0.00820628053460753,Preprocessor1_Model33
33,21,rmse,standard,0.4392424020265154,5,0.014706876958505163,Preprocessor1_Model33
33,21,rsq,standard,0.7432285494820644,5,0.014699570541201749,Preprocessor1_Model33
26,12,mae,standard,0.3085780801185347,5,0.008851122142645156,Preprocessor1_Model34
26,12,rmse,standard,0.4131844905278252,5,0.01609935992556713,Preprocessor1_Model34
26,12,rsq,standard,0.7732249272288371,5,0.015627763103318523,Preprocessor1_Model34
35,9,mae,standard,0.2919041478796011,5,0.007974417544664223,Preprocessor1_Model35
35,9,rmse,standard,0.3967552919694819,5,0.015128379936418922,Preprocessor1_Model35
35,9,rsq,standard,0.7895199763564665,5,0.013517516024740169,Preprocessor1_Model35
30,22,mae,standard,0.33697891815117104,5,0.008889685390089642,Preprocessor1_Model36
30,22,rmse,standard,0.4434617589397325,5,0.01575164093023051,Preprocessor1_Model36
30,22,rsq,standard,0.7384916919433474,5,0.016287842065302507,Preprocessor1_Model36
6,3,mae,standard,0.35589231533619786,5,0.007803090393100045,Preprocessor1_Model37
6,3,rmse,standard,0.4555525704284978,5,0.013948395944474298,Preprocessor1_Model37
6,3,rsq,standard,0.7599377996894969,5,0.016197556660122955,Preprocessor1_Model37
9,14,mae,standard,0.3501420512255291,5,0.008834934017944397,Preprocessor1_Model38
