mtry,min_n,.metric,.estimator,mean,n,std_err,.config
28,30,spec,binary,0.409023469697627,5,0.1523768577290405,Preprocessor1_Model30
8,37,accuracy,binary,0.8997759103641456,5,0.0224439083276548,Preprocessor1_Model31
8,37,bal_accuracy,binary,0.6300736418220232,5,0.05703244128109279,Preprocessor1_Model31
8,37,roc_auc,binary,0.8954141511521625,5,0.023221935022265196,Preprocessor1_Model31
8,37,sens,binary,0.9772875378629522,5,0.015529494126964563,Preprocessor1_Model31
8,37,spec,binary,0.2828597457810941,5,0.11477234181722734,Preprocessor1_Model31
28,23,accuracy,binary,0.9018151260504201,5,0.019823619457469754,Preprocessor1_Model32
28,23,bal_accuracy,binary,0.6949710458260084,5,0.06823746991876414,Preprocessor1_Model32
28,23,roc_auc,binary,0.883635829695422,5,0.01992990532272011,Preprocessor1_Model32
28,23,sens,binary,0.9674354758869741,5,0.02455972145403278,Preprocessor1_Model32
28,23,spec,binary,0.4225066157650427,5,0.14986991921175194,Preprocessor1_Model32
33,21,accuracy,binary,0.899484593837535,5,0.02053801989870118,Preprocessor1_Model33
33,21,bal_accuracy,binary,0.6900179482072062,5,0.06892005568406245,Preprocessor1_Model33
33,21,roc_auc,binary,0.8812217952849551,5,0.020314937582567753,Preprocessor1_Model33
33,21,sens,binary,0.9665180446943136,5,0.02435758901783095,Preprocessor1_Model33
33,21,spec,binary,0.4135178517200989,5,0.15141247131451452,Preprocessor1_Model33
26,12,accuracy,binary,0.9022296918767507,5,0.019943870581653565,Preprocessor1_Model34
26,12,bal_accuracy,binary,0.697883116746532,5,0.06811017382876383,Preprocessor1_Model34
26,12,roc_auc,binary,0.8887508667882688,5,0.017124355487229695,Preprocessor1_Model34
26,12,sens,binary,0.9665180446943136,5,0.02435758901783095,Preprocessor1_Model34
26,12,spec,binary,0.4292481887987506,5,0.14905865309341793,Preprocessor1_Model34
35,9,accuracy,binary,0.8991484593837534,5,0.02095160501266968,Preprocessor1_Model35
35,9,bal_accuracy,binary,0.6988502515349043,5,0.06746312768489778,Preprocessor1_Model35
35,9,roc_auc,binary,0.8864470058027483,5,0.019010668253690636,Preprocessor1_Model35
35,9,sens,binary,0.9617107412373501,5,0.02546284647039016,Preprocessor1_Model35
35,9,spec,binary,0.43598976183245847,5,0.14854921424715917,Preprocessor1_Model35
30,22,accuracy,binary,0.9025770308123249,5,0.019516457710212272,Preprocessor1_Model36
30,22,bal_accuracy,binary,0.6954297614223387,5,0.0681301485253627,Preprocessor1_Model36
30,22,roc_auc,binary,0.8798572751728008,5,0.022978076669283993,Preprocessor1_Model36
30,22,sens,binary,0.9683529070796347,5,0.024794173771761987,Preprocessor1_Model36
30,22,spec,binary,0.4225066157650427,5,0.14986991921175194,Preprocessor1_Model36
6,3,accuracy,binary,0.9047843137254902,5,0.021098559863620504,Preprocessor1_Model37
6,3,bal_accuracy,binary,0.6790411408855086,5,0.07605213346071897,Preprocessor1_Model37
6,3,roc_auc,binary,0.9077006510719768,5,0.01935528338097652,Preprocessor1_Model37
6,3,sens,binary,0.9782722952194577,5,0.016309955166024313,Preprocessor1_Model37
6,3,spec,binary,0.37980998655155956,5,0.16110940959759953,Preprocessor1_Model37
9,14,accuracy,binary,0.8986330532212885,5,0.02105731449186264,Preprocessor1_Model38
9,14,bal_accuracy,binary,0.6768379262150014,5,0.07287954314228023,Preprocessor1_Model38
9,14,roc_auc,binary,0.9051575793512014,5,0.019691429041040234,Preprocessor1_Model38
9,14,sens,binary,0.9716186748672072,5,0.02275847526764839,Preprocessor1_Model38
9,14,spec,binary,0.38205717756279556,5,0.15928094124099745,Preprocessor1_Model38
13,7,accuracy,binary,0.9056918767507003,5,0.01896453787395904,Preprocessor1_Model39
13,7,bal_accuracy,binary,0.702428071560842,5,0.0687475627713278,Preprocessor1_Model39
13,7,roc_auc,binary,0.9007830410328175,5,0.015450544337449568,Preprocessor1_Model39
13,7,sens,binary,0.9688663812892255,5,0.022055984380633865,Preprocessor1_Model39
13,7,spec,binary,0.43598976183245847,5,0.14854921424715917,Preprocessor1_Model39
14,9,accuracy,binary,0.9033389355742296,5,0.019403607002095234,Preprocessor1_Model40
14,9,bal_accuracy,binary,0.695686498527134,5,0.06908173350231049,Preprocessor1_Model40
14,9,roc_auc,binary,0.896448133912141,5,0.018890150767173715,Preprocessor1_Model40
14,9,sens,binary,0.9688663812892255,5,0.022055984380633865,Preprocessor1_Model40
14,9,spec,binary,0.4225066157650427,5,0.14986991921175194,Preprocessor1_Model40
19,33,accuracy,binary,0.8993949579831932,5,0.020762651512372585,Preprocessor1_Model41
19,33,bal_accuracy,binary,0.6651907923730084,5,0.06402415656061415,Preprocessor1_Model41
19,33,roc_auc,binary,0.8925056980259014,5,0.0183827290888152,Preprocessor1_Model41
19,33,sens,binary,0.9724014537321778,5,0.021993485027120153,Preprocessor1_Model41
19,33,spec,binary,0.3579801310138389,5,0.1381308945719018,Preprocessor1_Model41
34,37,accuracy,binary,0.8993949579831932,5,0.020762651512372585,Preprocessor1_Model42
34,37,bal_accuracy,binary,0.6651907923730084,5,0.06402415656061415,Preprocessor1_Model42
34,37,roc_auc,binary,0.8769397944744796,5,0.023156846440252746,Preprocessor1_Model42
34,37,sens,binary,0.9724014537321778,5,0.021993485027120153,Preprocessor1_Model42
34,37,spec,binary,0.3579801310138389,5,0.1381308945719018,Preprocessor1_Model42
28,15,accuracy,binary,0.9010532212885154,5,0.02015491634731013,Preprocessor1_Model43
28,15,bal_accuracy,binary,0.6945123302296782,5,0.06834770152490231,Preprocessor1_Model43
28,15,roc_auc,binary,0.8892259191532699,5,0.019125293495017695,Preprocessor1_Model43
28,15,sens,binary,0.9665180446943136,5,0.02435758901783095,Preprocessor1_Model43
28,15,spec,binary,0.4225066157650427,5,0.14986991921175194,Preprocessor1_Model43
26,17,accuracy,binary,0.9010532212885154,5,0.02015491634731013,Preprocessor1_Model44
26,17,bal_accuracy,binary,0.6945123302296782,5,0.06834770152490231,Preprocessor1_Model44
26,17,roc_auc,binary,0.8903303078231412,5,0.019765325128601283,Preprocessor1_Model44
26,17,sens,binary,0.9665180446943136,5,0.02435758901783095,Preprocessor1_Model44
26,17,spec,binary,0.4225066157650427,5,0.14986991921175194,Preprocessor1_Model44
22,24,accuracy,binary,0.9044481792717086,5,0.018749835737497333,Preprocessor1_Model45
22,24,bal_accuracy,binary,0.693691858799271,5,0.06918820501595635,Preprocessor1_Model45
